Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
adra2a,388,319,323,387,455,282,436,403,309
chrna1,36,21,16,12,16,26,11,24,12
chrna3,68,50,76,38,68,46,16,20,31
chrna5,798,963,966,1018,1068,1097,808,1017,1334
chrna6,1637,2073,1573,1487,1235,1245,1554,1625,1266
chrna7,230,188,140,163,122,121,138,129,103
chrnb1,48,13,15,36,32,10,39,21,23
chrnb2,4618,5427,5182,4644,4569,3826,4024,5027,4714
chrnb4,153,93,106,82,93,86,54,57,83
chrnd,11,8,8,4,4,5,5,6,6
chrng,29,8,4,23,12,49,7,2,4
cnr1,2257,2616,2460,3344,3987,3091,3636,2727,2838
drd3,592,589,500,571,448,471,477,561,735
gabbr2,3160,4419,3985,3390,3488,3132,3080,3723,3363
gabra4,3102,3185,3349,3499,3629,4439,3755,3570,3261
grin3a,1077,853,729,834,831,599,752,870,698
htr6,106,80,57,90,94,90,109,142,113
npy1r,207,242,248,240,228,188,280,256,261
npy2r,22,23,31,19,66,68,20,15,8
nr3c1,6591,6401,6015,5189,6050,5209,5134,5739,5764
oprm1,419,395,456,447,496,467,457,594,737
